Район	Квартали / зони / населени места
Банкя	Банкя, Вердикал, Градоман, Иваняне, Клисура, Михайлово
Витоша	Бояна, Драгалевци, Симеоново, Княжево, Павлово, Бъкстон, Карпузица, Манастирски ливади — запад, Владая, Мърчаево. Официалният сайт на район „Витоша“ посочва именно тези основни квартали и села.
Връбница	Връбница 1, Връбница 2, Обеля 1, Обеля 2, Модерно предградие, Волуяк, Мрамор
Възраждане	Зона Б-5, Зона Б-5-3, Зона Б-18, Зона Б-19, Център — западна част, Сердика — частично
Изгрев	Изгрев, Изток, Дианабад
Илинден	Илинден, Света Троица, Захарна фабрика, Гевгелийски, Западен парк — частично
Искър	Дружба 1, Дружба 2, Абдовица, Димитър Миленков, Бусманци, промишлена зона Искър. Официалният сайт на район „Искър“ посочва Дружба 1, Дружба 2, Бусманци, Димитър Миленков и Абдовица.
Красна поляна	Красна поляна 1, Красна поляна 2, Красна поляна 3, Разсадника, Факултета, Западен парк — частично
Красно село	Красно село, Борово, Белите брези, Лагера, Хиподрума, Славия, Гоце Делчев — частично
Кремиковци	Ботунец, Ботунец 2, Кремиковци, Сеславци, Челопечене, Враждебна — частично, Бухово, Горни Богров, Долни Богров, Яна, Желява
Лозенец	Лозенец, Хладилника, Кръстова вада — частично, Витоша ВЕЦ-Симеоново — частично
Люлин	Люлин 1, Люлин 2, Люлин 3, Люлин 4, Люлин 5, Люлин 6, Люлин 7, Люлин 8, Люлин 9, Люлин 10, Център Люлин
Младост	Младост 1, Младост 1А, Младост 2, Младост 3, Младост 4, Горубляне, Полигона, Бизнес парк София, НПЗ Изток, НПЗ Горубляне. Официалният сайт на района посочва Младост, Горубляне, Полигона и двете промишлени зони.
Надежда	Надежда 1, Надежда 2, Надежда 3, Надежда 4, Илиянци, Триъгълника, Толстой, Свобода
Нови Искър	Нови Искър, Курило, Кумарица, Славовци, Гниляне, Изгрев, Требич, Световрачене, Кубратово, Негован, Чепинци, Подгумер, Войнеговци, Локорско, Мировяне, Доброславци, Балша, Житен
Оборище	Оборище, Яворов — частично, Център — североизточна част, Подуяне — частично
Овча купел	Овча купел 1, Овча купел 2, Горна баня, Суходол, Овча купел — стара част, Карпузица — частично
Панчарево	Панчарево, Бистрица, Железница, Казичене, Кокаляне, Кривина, Лозен, Герман, Долни Пасарел, Плана, Пасарел
Подуяне	Подуяне, Хаджи Димитър, Сухата река, Левски, Левски В, Левски Г, Стефан Караджа, Малашевци, Орландовци — частично
Сердика	Банишора, Орландовци, Фондови жилища, Военна рампа, Бенковски, Малашевци — частично, Централна гара
Слатина	Слатина, Гео Милев, Христо Смирненски, Редута, Яворов — частично, Христо Ботев, НПЗ Искър — частично
Средец	Център, Докторски паметник, Яворов — частично, Борисова градина, Военна академия
Студентски	Студентски град, Малинова долина, Дървеница, Мусагеница — частично, Витоша — частично
Триадица	Иван Вазов, Стрелбище, Гоце Делчев — частично, Манастирски ливади — изток, Кръстова вада — частично, Хладилника — частично, Център — южна част
